wordpress_id;titre;code_fournisseur
1340;Aegean (A3 - 390);
1343;Aeroflot (SU - 555);
1345;Aeromexico (AM - 139);
1347;Aigle Azur (ZI - 439);
1349;Air Austral (UU - 760);
1353;Air Canada (AC - 014);
1355;Air Caraibes (TX - 427);
1357;Air China (CA - 999);
1359;Air Europa (UX - 996);
1361;Air France KLM (AF - 057);
1363;Air Indemnité;
1365;Air Madagascar (MD - 258);
1367;Air Mauritius (MK - 239);
1373;Air Tahiti Nui (TN - 244);
1375;Air Transat (TS - 649);
1380;Alitalia (AZ - 055);
1382;All Nippon Airways (NH - 205);
1388;American Airlines (AA - 001);
1396;Asiana (OZ - 988);
1402;Austrian (OS - 257);
1404;Autre Fournisseur;
1418;British Airways (BA - 125);
1420;Brussels Airlines (SN - 082);
1424;Cathay Pacific (CX - 160);
1426;China Southern Airlines (CZ - 784);
38981;Aca Voyage;70030
1336;Accor Hotels;90000
1437;Corsair (SS - 923);
1448;Delta Airlines (DL - 006);
1452;Donatello;
1453;EasyJet (U2 - 888);
1455;Emirates (EK - 176);
1461;Ethiopian Airlins (ET - 071);
1463;Etihad Airways (EY - 607);
1471;Eva Air (BR - 695);
1476;Finnair (AY - 105);
48084;Across Australia;70040
1495;Gulf Air (GF - 072);
1506;Iberia (IB - 075);
1520;Korean Air (KE - 180);
1524;La Compagnie (B0 - 002);
1528;Latam (LA - 045);
1534;Lot (LO - 080);
1538;Lufthansa (LH - 220);
1546;Middle East (ME - 076);
1555;Oman Air (WY - 910);
1559;Qantas Airways (QF - 081);
1561;Qatar Airways (QR - 157);
1566;Royal Air Maroc (AT - 147);
1577;Saudia Arabia Airlines (SV - 065);
1579;Singapore Airlines (SQ - 618);
31114;AD2T du Cher;
1593;Swiss (LX - 724);
1595;TAP (TP - 047);
1597;Tarom (RO - 281);
1601;Thai Airways International (TG - 217);
1619;Tunisair (TU - 199);
1621;Turkish Airlines (TK - 235);
1623;Ukraine Intl Airlines (PS - 566);
1627;United Airlines (UA - 016);
1338;Adenis;90040
1634;Vietnam Airlines (VN - 738);
1646;XL Airways (SE - 473);
31119;ADT Indre;74820
27935;Aer Lingus (EI – 053);
28693;Volotea (V7 - 712);
1342;Aero Affaires (avion à la demande);70050
48976;Aeroviaggi;90052
38980;African Eagle;70060
46362;Air Charter Service (ACS) avion à la demande;70080
53239;Air Senegal  (490 – HC);
30277;AirPlus;
1377;AIRTOB Italowcost;90095
31112;Aisne Tourisme;70090
38982;Akilanga;70121
52077;Akilanga;70121
1378;Albatravel;90120
38983;Alliance Indonesia;70118
1384;Alpitour;90130
38984;Altanueva;70120
52079;Altanueva;70120
1386;Amadeus;93300
38985;Amahuaca;70150
52080;Amahuaca;70150
30278;American Express;
53534;Amitour;70200
1390;Amslav;90190
1392;April International;90237
31113;Ariège Pyrénées Tourisme;70305
38975;ASA (Angela Shanley Associates);70335
1394;Asia;90355
45012;Asmara Tour & Travel;70320
1398;Austral Lagons;90490
1400;Australie Tours;90480
39185;Avantgarde Prague;70489
38986;Avi Travel;70490
1405;Avis;90590
38987;Bahia Tours;70740
31128;Bateaux Parisiens;90690
38988;BB voyage;70745
1410;Beachcomber Tours;90748
1412;Bedsonline;90770
38989;Beijing Harmony Travel;70805
1414;Belambra Clubs;90825
38991;Blandy travel;71070
30281;BNP Paribas;
1416;Boomerang - Kappa Club - Club Coralia;91200
1422;Campings.com;91570
1428;Climats du Monde;92085
1430;Cockpit Aerticket;90051
51055;Cohili Tours;72220
1432;Comptoir des Achats;
31170;Concierge Excellent Travel Company;73344
39696;Connaisseurs du Voyage;95930
38992;Connections;72230
38993;Contact LLC;72240
31115;Corrèze Tourisme;72310
1439;Costa Croisières;92330
1445;CroisiEurope;92493
49797;D Travel;72700
1450;Disneyland Resort;92910
31116;Dordogne-Périgord Réservation;72970
31117;Doubs Tourisme;72985
49982;Edenred;
38994;Emirates Falcon Tourism;73240
1457;Empreinte;93240
30280;eNett;
1459;Enterprise Rent-A-Car;93341
31118;Eure et Loir Tourisme;73315
1465;Eurolines;93327
1469;Europcar;91111
1473;Executiv;93341
1474;Exotismes;93340
1478;FlixBus;93558
38995;France Angleterre (GROUPES);73670
38996;France Travel Center;73671
1480;FTI Voyages;99107
1482;Futuroscope;93750
2897;G7;93790
39182;Gaston-Sacaze;73885
1486;Gestour;
1488;Go IATA;94110
38997;Go Vacation;74195
38998;Going Russia;74140
39000;Golden Gate Tours;74150
1493;Groupe Teker / Pacha Rev / Magic Ways;97197
39001;GVQ Canada (Groupe Voyages Québec);74270
1499;Héliades;94570
39002;Happy Travel;74500
1497;Havanatour;94530
1501;Hertz;94596
1504;Holiday Extras;94728
1508;IBEROSERVICE;94770
31103;IBEROSTAR Hotels & Resorts (uniquement hôtels);74775
39003;Iceland Escape;74835
1509;Iga;94795
39004;Image d'Asie;74805
39006;Irish Welcome Tours;74830
39007;Jac Travel;74865
1515;Jet tours;94978
1518;Jetset;94975
31121;Jura Tourisme;75090
39020;Karibuni (Pollman's Tours and Safaris);77706
39008;KMP;75165
39009;Kunming Scenery;75215
1522;Kuoni / Celtictours / Donatello / Scanditours / Vacances Fabuleuses;95215
49888;La Française des Circuits;93671
1526;Lagrange;95315
39040;Liberty Travel;79660
1530;Locatour;95955
1532;Look Voyages;95985
39010;Lotus Asia Tours;75995
31122;Lozère Tourisme;76005
39011;Luminalis;76040
31102;Lux* Resorts and Hotels (uniquement hôtels);76980
1544;Marmara;96330
28000;MB3M;96500
39013;Mille Tours;76680
42151;Monarch Travel;76700
51064;Mondial Tourisme;96863
1548;Msc Croisières;92490
31183;Nacara Destination Management Paris;76972
1550;Net Trans - Onyx;96995
48399;NH Hotels Group;
1551;Nouvelles Frontières;97066
1553;Ollandini;97144
39014;Ollandini Voyages;97144
42003;Orne Tourisme;
39015;Ortra;77160
39370;Ouibus;97180
39016;Overseas;77170
39017;Papangue Tours;77286
39018;Passion Brazil;77307
54382;Phenix Telecom;97510
39019;Phoenix voyages;77523
39925;Plus Belle l'Europe;97660
39022;Pont Tours;77714
1557;Présence Assistance;97775
39025;Promenada;77811
1563;Resaneo;98097
1565;Restel;98098
39026;Robert Arrigo & Sons;70312
38961;Royal Caribbean International;98275
1572;RTS (Realtime Travel Solution);98470
1574;Sabre;98506
1575;Sapeig;98601
31179;Seine-et-Marne Tourisme;78752
1581;Sirius;98855
1583;Sixt;98866
1585;SNCF;
1587;Sol Latino;98960
31089;SOP Events (Sud Ouest Passion - Séminaires);72516
39027;Sri Lanka Express;79103
39029;Start Travel (Crète);79107
1589;Stock2com;99130
1591;SunHotels;99169
46301;Sunny Cars;99171
39030;Sveta Ana Travel;79186
39031;Swagatam Tours;79187
39032;Tahiti Nui Travel;79202
39033;Tanganyika Expeditions;79212
31123;Tarn Tourisme;79220
39919;Tecksaas - RGPD;99245
1599;Teldar Travel;99260
39034;Terres Indiennes;74809
1603;Thalasso n°1 / Ôvoyages;99311
39035;Tierras Espanolas;79344
1605;Top of Cab;99390
1511;Totalstay / Jactravel;93342
39036;Toundra Voyages;79395
1606;TourCom Affaires;99991
1607;TourCom FIT;99998
1608;TourCom GIE;99999
14597;TourCom Hotels;
49258;Tourfinance;99990
1609;Tourinter;99402
1611;Travelcube;97108
1613;Trenitalia;90235
55529;Tribeni Trek;79430
53071;Tritravel;79435
39039;Tropical Tour;79440
1617;TUI France;99488
